time,latency
0.0,38.747
4.509971857070923,41.556
6.738832950592041,58.656
9.002819061279297,47.58
11.251996994018555,28.223
13.481498956680298,66.39
15.71414303779602,35.23
17.970114946365356,65.793
20.20521593093872,76.597
22.459087133407593,63.361
24.6907000541687,46.722
26.928874969482422,71.708
29.179532051086426,27.177
31.39447283744812,28.501
33.61199688911438,29.791
35.88393807411194,66.095
38.19540786743164,55.246
40.50519394874573,40.587
42.80433893203735,63.089
45.121766805648804,37.801
47.416609048843384,46.464
49.72192192077637,34.492
52.02133083343506,72.619
54.36442995071411,39.725
56.68120193481445,31.885
58.98295497894287,67.308
61.32406497001648,129.938
63.735795974731445,54.339
66.0815417766571,33.759
68.41312313079834,56.787
70.75932598114014,61.212
73.11457204818726,34.369
75.4432909488678,28.095
77.78308200836182,60.437
80.1280779838562,25.251
82.46098494529724,30.525
84.77508401870728,44.498
87.10158395767212,27.151
89.42035412788391,65.513
91.77653193473816,44.426
94.14463210105896,26.403
100.19468808174133,54.973
107.49472784996033,27.204
111.1454918384552,27.521
114.55423474311829,29.157
117.79834794998169,40.29
